 ,tree_id,tree_sp,tree_cond,symptoms,num_holes,notes
11/20,86,quag,fair,holes,30-40,
11/20,84,quag,fair,holes,50-60,
11/20,"66, 83, 82",quag,good,none,0,branches labelled differently
11/20,535,quag,fair,"holes, fungus",,
11/20,65,quag,good,none,0,
11/20,67,qudo,good,holes,5-10,
11/20,81,qudo,poor,holes,1-5,
11/20,80,qudo,fair,"holes, fungus",5-10,scorched base
11/20,79,quag,good,holes,10-20,
11/20,78,quag,good,"holes, fungus",20-30,
11/20,77,quag,good,holes,20-30,
11/20,76,quag,poor,"holes, galleries",50-60,"20-30 on base, up to 100 on dead branch"
11/20,72,quag,fair,"holes, galleries",50-60,
11/20,74,quag,,"holes, fungus",1-5,
11/20,73,quag,,none,0,
11/20,75,qudo,fair,"holes, galleries, fungus",,
11/20,532,quag,poor,"holes, wet stain",10-20,
11/20,534,quag,fair,"holes, fungus",20-30,see pic
11/20,69,qudo,poor,holes,20-30,
11/20,70,quag,fair,holes,1-5,
11/20,68,quag,good,holes,10-20,
11/20,85,qudo,excelent,none,0,
1/16,68,quag,good,holes,1-5,
1/16,77,quag,good,holes,10-20,one branch
1/16,76,quag,good,"holes, boring dust, galleries",20-30,
1/16,74,quag,good,"holes, boring dust",10-20,
1/16,73,quag,ex,none,,
1/16,519,quodqudo,good,holes,5-10,
1/16,511,qudo,good,holes,1-5,
1/16,75,quag,poor,"holes, fungus, staining, galleries",50,
1/16,65,quag,good,holes,1-5,
1/16,67,qudo,good,none,,
1/16,85,qudo,good,none,,
1/16,675,qudo,good,"holes, fungus",1-5,
1/16,94,qudo,good,none,,
1/16,95,quag,fair, holes,1-5,
1/16,96,qudo,poor,"holes, black fungus",30-40,
1/16,"66, 83, 82",quag,good,none,,
1/16,84,quag,fair,holes,20-30,
1/16,86,quag,fair,"holes, fungus",10-20,
1/16,81,qudo,fair,none,,
1/16,80,qudo,fair,none,,
1/16,79,quag,good,none,,
1/16,78,quag,good,holes,10-20,
1/16,72,quag,fair,"holes, galleries",20-30,
1/16,70,quag,good,holes,1-5,
1/16,69,qudo,good,holes,10-20,
1/16,514,qudo,ex,none,,
1/16,515,qudo,ex,none,,
1/16,513,qudo,ex,none,,
1/16,512,qudo,ex,none,,
1/16,532,quag,fair,holes,30-40,
1/16,533,quag,ex,none,,
1/16,534,quag,fair,"holes, galleries",20-30,
1/16,535,quag,good,fungus,,
1/16,536,quag,good,none,,
3/4,65,quag,good,none,,
3/4,67,qudo ,ex,holes,1-5,
3/4,511,qudo,good,holes,1-5,
3/4,69,qudo, fair,"holes, fungus, 30-40",,
3/4,72,quag,fair,"holes, fungus (black), galleries",30-40,
3/4,76,quag,good,"holes, galleries, fungus",20-30,
3/4,77,quag,good,"holes, galleries,  fungus",10-20,
3/4,78,quag,good,"holes, fungus",5-10,
3/4,75,qudo,poor,"holes, fungus, galleries",50+,
3/4,675,qudo,fair,"holes, fungus",20-30,
3/4,86,quag,fair,"holes, fungus",10-20,
3/4,85,qudo,fair,none,,
3/4,82,quag,good,none,,
3/4,84,quag,poor,holes,50+,
3/4,83,quag,fair,holes,10-20,
3/4,66,quag,good,holes,1-5,
3/4,81,qudo,poor,holes,5-10,
3/4,80,qudo,poor,holes,10-20,
3/4,79,quag,fair,holes,10-20,
3/4,73,quag,fair,holes,5-10,
3/4,74,quag,fgood,holes,20-30,
3/4,70,quag,fair,holes,5-10,
3/4,68,quag,good,holes,5-10,
4/12,85,qudo,good,none,,
4/12,86/538etc,quag,fair,"holes, fungi",20-30,
4/12,84,quag,poor,holes,30-40,
4/12,"66,83,82",quag,good,holes,30-40 (on 83),
4/12,535,quag,good,"holes, fungus",10-20,
4/12,533/532,quag,fair,"holes, fungus, wet stain",10-20,
4/12,65,quag,excellent,holes,1-5,
4/12,67,qudo,good,none,,
4/12,81,qudo,poor,"holes, fungus",5-10,
4/12,80,qudo,fair,"holes, fungus",5-10,
4/12,79,quag,good,"holes, fungus",10-20,
4/12,78,quag,fair,"holes, fungus",20-30,
4/12,77,quag,good,"holes, fungus",5-10,
4/12,76,quag,good,"holes, fungus, galleries, boring dust ",30-40,
4/12,72,quag,fair,"holes, fungus, galleries, boring dust",50+,
4/12,74,quag,good,"holes, fungus, boring dust",20-30,
4/12,73,quag,good,holes,1-5,
4/12,518,qudo,good,none,,
4/12,519,qudo,excellent,"holes,",5-10,
4/12,516/517,qudo,excellent ,holes,1-5,
4/12,511,qudo,excellent,holes,1-5,
4/12,512/513/14/15,qudo,good,none,,
4/12,69,qudo,fair,holes,5-10,
4/12,75,qudo,poor,"holes, fungus, galleries",50+,
4/12,70,quag,fair,none,,
4/12,675,qudo,good,holes,1-5,
5/20,535,quag,fair,"holes, fungus, galleries, boring dust",50+,
5/20,533,quag,"fungus, holes, ",good,1-5,
5/20,65,quag,good,holes,1-5,
5/20,66,quag,excellent ,"holes, fungus",1-5,
5/20,82/527,quag,excellent ,none,,
5/20,83,quag,fair,holes,10-20,
5/20,84,quag,fair,holes,10-20,
5/20,67,qudo,good,holes,5-10,
5/20,68,quag ,good,holes,1-5,
5/20,69,qudo,fair,"holes, fungus, boring dust",20-30,
5/20,70,.quag,good,none,,
5/20,74,quag,excellent ,"holes, fungus",5-10,
5/20,72,quag,fair,"holes, fungus, galleries, bore dust",50+,
5/20,76,quag,fair,"holes, fungus, bore holes, galleries",50+ ,
5/20,77,quag,good,"holes, fungus",20-30,
5/20,78,quag,good,holes,5-10,
5/20,79,quag,good,holes,1-5,
5/20,80,qudo,fair,"holes, fungus",5-10,
5/20,81,quag ,fair,"holes, fungus",5-10,
5/20,86,quag ,good,"holes, fungus",10-20,
5/20,73,quag,excellent ,none,,
5/20,75,qudo,poor,"holes, fungus, galleries",50 plus,
6/27,65,quag,excellent ,holes,5-10,
6/27,66,quag,excellent ,holes,5-10,
6/27,67,qudo,good,none,,
6/27,68,quag,good,"holes, fungus",10-20,
6/27,69,qudo,fair,holes,5-10,
6/27,70,quag,good,holes,1-5,
6/27,72,quag,good,"holes, fungus",20-30,
6/27,73,quag,excellent ,none,,
6/27,74,quag,good,"holes, fungus",1-5,
6/27,75,qudo,poor,"holes, fungus, galleries",50+,
6/27,76,quag,good,"holes, galleries, fungus",30-40,
6/27,77,quag,good,holes,5-10,
6/27,78,quag,fair,holes,10-20,
6/27,79,quag,good,holes,20-30,
6/27,80,qudo,fair,"holes , fungus",5-10,
6/27,81,qudo,fair,holes,5-10,
6/27,82,quag,excellent ,none,,
6/27,83,quag,fair,"holes, fungus",10-20,
6/27,84,quag,fair ,holes,30-40,
6/27,85,,,,,
6/27,86,quag,good,holes,20-30,
6/27,511,qudo,good,"holes, fungus",5-10,
6/27,532,quag,fair,"holes, stained wood",10-20,
6/27,534+535,quag,fair,"holes, fungus, gallerues",10-20,